pig,chamber,period,experimental_unit,timestamp,phase_idx,outer_fold,observed_HP,predicted_HP__Sensor/context base,predicted_HP__+ planned feeding amount,predicted_HP__+ protocol meal timing
pig_11,B2,2,B2_p2,2026-06-12 23:30:00,2,5,42.10826526291178,30.93726398679307,29.898853261508435,30.17933667924065
pig_11,B2,2,B2_p2,2026-06-13 00:00:00,2,5,44.09162642124408,30.476276286819193,29.992553784406198,30.113193393557562
pig_11,B2,2,B2_p2,2026-06-13 00:30:00,2,5,42.01412291823608,30.25809253813773,29.507799589609302,29.25640384859799
pig_11,B2,2,B2_p2,2026-06-13 01:00:00,2,5,79.12674613281163,30.499975404272885,30.04831937854642,30.14174983667624
pig_11,B2,2,B2_p2,2026-06-13 01:30:00,2,5,41.43204818987891,30.28690425834954,29.49026129524388,29.625638213457602
pig_11,B2,2,B2_p2,2026-06-13 02:00:00,2,5,43.062236346228886,26.77313963337329,25.443404842571233,25.864013067164528
pig_11,B2,2,B2_p2,2026-06-13 02:30:00,2,5,40.02680596238727,27.394525043740753,26.28192403729198,26.250778010929547
pig_11,B2,2,B2_p2,2026-06-13 03:00:00,2,5,41.96859538849567,28.15491322454617,27.335449542686312,27.071058856689167
pig_11,B2,2,B2_p2,2026-06-13 03:30:00,2,5,39.77788304546743,27.483064483825654,26.74897291815278,27.14669375510149
pig_11,B2,2,B2_p2,2026-06-13 04:00:00,2,5,39.065807787323166,27.160352289321146,26.277476531593322,26.87795298144423
pig_11,B2,2,B2_p2,2026-06-13 04:30:00,2,5,37.52947595567735,28.237033067338583,27.24024836067165,27.418751789379897
pig_11,B2,2,B2_p2,2026-06-13 05:00:00,2,5,39.98879443723156,27.508440751772994,26.330076330135896,26.49930720872706
pig_11,B2,2,B2_p2,2026-06-13 05:30:00,2,5,40.49758283315739,26.683380995842604,25.935335497103097,26.50967070835499
pig_11,B2,2,B2_p2,2026-06-13 06:00:00,2,5,35.0036455078107,25.957826870699712,25.336769643138695,25.643109682371644
pig_11,B2,2,B2_p2,2026-06-13 06:30:00,2,5,42.131899734833766,25.771223849825418,25.24661133332178,25.602770916671737
pig_11,B2,2,B2_p2,2026-06-13 07:00:00,2,5,34.81570072282387,26.327299044916657,26.25641294760396,26.054126805531155
pig_11,B2,2,B2_p2,2026-06-13 10:00:00,3,5,51.60338864656191,33.87661842443526,32.823630724375114,34.07538981572312
pig_11,B2,2,B2_p2,2026-06-13 10:30:00,3,5,47.789444018435674,32.49347669607288,31.607306195224318,32.08380238144336
pig_11,B2,2,B2_p2,2026-06-13 11:00:00,3,5,59.3470658457354,41.80891452961514,40.01587728020547,39.99062952127128
pig_11,B2,2,B2_p2,2026-06-13 11:30:00,3,5,56.832397887561186,33.2425931700238,32.08823603502924,33.25138823379494
pig_11,B2,2,B2_p2,2026-06-13 12:00:00,3,5,46.70669099521602,31.159662049204833,30.858331868230255,31.871291495685046
pig_11,B2,2,B2_p2,2026-06-13 12:30:00,3,5,44.80977999163143,30.237445731660785,29.122929538467687,30.18044518563893
pig_11,B2,2,B2_p2,2026-06-13 13:00:00,3,5,46.44421318155386,33.51530636249667,32.70273363639957,32.721644574505916
pig_11,B2,2,B2_p2,2026-06-13 13:30:00,3,5,54.72900256421415,36.76903937598072,35.878598397485334,35.54809200477456
pig_11,B2,2,B2_p2,2026-06-13 14:00:00,3,5,44.417579234590136,34.39649216721486,32.95828502194992,32.80007326071574
pig_11,B2,2,B2_p2,2026-06-13 14:30:00,3,5,46.754877114081324,36.772463066282164,34.83331183947548,36.87269206677097
pig_11,B2,2,B2_p2,2026-06-13 15:30:00,3,5,68.32416187314375,49.38134962743377,46.42978515986728,48.03313778982483
